brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
Artrom,,https://comprarunmicroondas.com/artrom-mm-720vml/#comments,,MM-720BEML,,Microondas,es,Cocina,artrom.es,https://artrom.es/wp-content/uploads/2018/09/MM-720BEML-3.jpg,Manual usuario,https://artrom.es/producto/mm-720beml-microondas-beige-vintage/
Artrom,,https://www.ocu.org/electrodomesticos/microondas/test/comparar-microondas/artrom-mm720nmx/28095_47224,,MM-720NMX,,Microondas,es,Cocina,artrom.es,https://artrom.es/wp-content/uploads/2018/09/MM-720NMX-4.jpg,Manual usuario,https://artrom.es/producto/mm-720nmx-microondas-retro/
Artrom,,https://comprarunmicroondas.com/artrom-mm-720vml/#comments,,MM-720AML,,Microondas,es,Cocina,artrom.es,https://artrom.es/wp-content/uploads/2018/09/MM720AMLTR-3.png,Manual usuario,https://artrom.es/producto/mm-720aml/
Artrom,,https://artrom.es/wp-content/uploads/2018/04/ES_EN-MW-EA-manual-final.pdf,,AM-720NJL,,Microondas,es,Cocina,artrom.es,https://artrom.es/wp-content/uploads/2018/09/AM-720NJL-3.jpg,Manual usuario,https://artrom.es/producto/am-720njl/
Artrom,,https://artrom.es/wp-content/uploads/2018/04/ES_EN-MW-EA-manual-final.pdf,,AM-720RML,,Microondas,es,Cocina,artrom.es,https://artrom.es/wp-content/uploads/2018/09/AM-720RML-2.jpg,Manual usuario,https://artrom.es/producto/am-720rml/
Artrom,,https://artrom.es/wp-content/uploads/2018/05/Manual-MAX-ES-EN.pdf,,EA-MAX,,Climatizadores Evaporativos,es,Climatización,artrom.es,https://artrom.es/wp-content/uploads/2018/09/ea-max-2.jpg,Manual usuario,https://artrom.es/producto/ea-max/
Artrom,,https://artrom.es/wp-content/uploads/2017/07/Manual-final-1.pdf,,MM-720RML,,Pequeno Electrodomestico,es,Cocina,artrom.es,https://artrom.es/wp-content/uploads/2018/09/MM-720RML-1-3.jpg,Manual usuario,https://artrom.es/producto/mm-720rml-microondas-vintage-rojo/
Artrom,,https://artrom.es/wp-content/uploads/2019/05/IM-APH-9-ES_EN.pdf,,APH-2250 (R290),,Aire acondicionado,es,Climatización,artrom.es,https://artrom.es/wp-content/uploads/2018/09/proba2.2-3.jpg,Manual usuario,https://artrom.es/producto/aph-2250-r290/
Artrom,,https://artrom.es/wp-content/uploads/2017/05/MANUAL-TO-26YLC.pdf,,TO-26YLC,,Hornos,es,Cocina,artrom.es,https://artrom.es/wp-content/uploads/2018/09/TO-26YLC-4.jpg,Manual usuario,https://artrom.es/producto/horno-de-sobremesa-to-26ylc/
Artrom,,https://artrom.es/wp-content/uploads/2017/05/MANUAL-TO-9YLC.pdf,,TO-9YLC,,Hornos,es,Cocina,artrom.es,https://artrom.es/wp-content/uploads/2018/09/TO-9YLC-2-3.jpg,Manual usuario,https://artrom.es/producto/mini-horno-to-9ylc/
