brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
BKF,,http://bkfglobal.com/manuales/Asistentes-de-cocina/LicuadoraDeMano_BF-HB300C_Manual.pdf,,BF-HB300C,,Licuadora De Mano,es,,bkfglocal.com,http://bkfglobal.com/imagenes/Asistentes-de-cocina/Licuadora-de-mano-BF-HB300C.jpg,Manual,http://bkfglobal.com/descargas/
BKF,,http://bkfglobal.com/manuales/Asistentes-de-cocina/Batidora-BF-MI200B_Manual_CS6.pdf,,BF-MI200B,,Batidora De Mano,es,,bkfglocal.com,http://bkfglobal.com/imagenes/Asistentes-de-cocina/Batidora-de-Mano-BF-MI200B.jpg,Manual,http://bkfglobal.com/descargas/
BKF,,http://bkfglobal.com/manuales/Asistentes-de-cocina/Licuadora_BF-LI400_Manual_CURVAS.pdf,,BF-LI400,,Licuadora,es,,bkfglocal.com,http://bkfglobal.com/imagenes/Asistentes-de-cocina/Licuadora_BF-LI400.jpg,Manual,http://bkfglobal.com/descargas/
BKF,,http://bkfglobal.com/manuales/Asistentes-de-cocina/Batidora-BF-MI200BC_Manual%20CS6.pdf,,MI200BC,,Batidora Con Bowl,es,,bkfglocal.com,http://bkfglobal.com/imagenes/Asistentes-de-cocina/Batidora_BF-MI200BC_bb.jpg,Manual,http://bkfglobal.com/descargas/
BKF,,http://bkfglobal.com/manuales/Asistentes-de-cocina/Manual_Procesadoras_FP800.pdf,,BF-FP805B,,Procesadora,es,,bkfglocal.com,http://bkfglobal.com/imagenes/Asistentes-de-cocina/ProcesadoraBF-FP805chef.jpg,Manual,http://bkfglobal.com/descargas/
BKF,,http://bkfglobal.com/manuales/Asistentes-de-cocina/Manual_Procesadoras%20FP800.pdf,,BF-FP807B,,Procesadora,es,,bkfglocal.com,http://bkfglobal.com/imagenes/Asistentes-de-cocina/ProcesadoraBF-FP807chef.jpg,Manual,http://bkfglobal.com/descargas/
BKF,,http://bkfglobal.com/manuales/Asistentes-de-cocina/Licuadora_BF-LI400B_manual.pdf,,BF-HB400B,,Licuadora De Mano,es,,bkfglocal.com,http://bkfglobal.com/imagenes/Asistentes-de-cocina/Licuadora_de_mano_BF_HB400B.jpg,Manual,http://bkfglobal.com/descargas/
BKF,,http://bkfglobal.com/manuales/Asistentes-de-cocina/Batidora-BF-MI200_Manual.pdf,,BF-MI200B,,Batidora De Mano,es,,bkfglocal.com,http://bkfglobal.com/imagenes/Asistentes-de-cocina/Batidora_de_mano_BF-MI200B.jpg,Manual,http://bkfglobal.com/descargas/
BKF,,http://bkfglobal.com/manuales/Asistentes-de-cocina/Batidora-BF-MI200BP_Manual.pdf,,BF-MI200BP,,Batidora Con Pie,es,,bkfglocal.com,http://bkfglobal.com/imagenes/Asistentes-de-cocina/Batidora_con_bowl_BF-MI200BP.jpg,Manual,http://bkfglobal.com/descargas/
BKF,,http://bkfglobal.com/manuales/Asistentes-de-cocina/Batidora%20de%20mano_MI300_Manual.pdf,,BF-MI300,,Batidora De Mano,es,,bkfglocal.com,http://bkfglobal.com/imagenes/Asistentes-de-cocina/Batidora_de_mano_BF-MI300.jpg,Manual,http://bkfglobal.com/descargas/
