brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
Climadiff,,https://www.climadiff.com/gb/index.php?controller=attachment&id_attachment=23,,BLTY01,,Thermometer-Hygrometer,gb,Accessories,climadiff.com,https://www.climadiff.com/91-large_default/blty01-thermometer-hygrometer-wine-cellar.jpg,Fiche,https://www.climadiff.com/gb/42-blty01-thermometer-hygrometer-wine-cellar-3595320103670.html
Climadiff,,https://www.climadiff.com/gb/index.php?controller=attachment&id_attachment=69,,AIRPUR1,,Air Cleaners,gb,Air treatment,climadiff.com,https://www.climadiff.com/588-large_default/AIRPUR1.jpg,Notice,https://www.climadiff.com/gb/103-AIRPUR1-3595320106503.html
Climadiff,,https://www.climadiff.com/gb/index.php?controller=attachment&id_attachment=70,,AIRPUR1,,Air Cleaners,gb,Air treatment,climadiff.com,https://www.climadiff.com/588-large_default/AIRPUR1.jpg,Fiche,https://www.climadiff.com/gb/103-AIRPUR1-3595320106503.html
Climadiff,,https://www.climadiff.com/gb/index.php?controller=attachment&id_attachment=71,,AIRPUR3,,Air Cleaners,gb,Air treatment,climadiff.com,https://www.climadiff.com/594-large_default/airpur3-air-purifier.jpg,Notice,https://www.climadiff.com/gb/104-airpur3-air-purifier-3595320106510.html
Climadiff,,https://www.climadiff.com/gb/index.php?controller=attachment&id_attachment=72,,AIRPUR3,,Air Cleaners,gb,Air treatment,climadiff.com,https://www.climadiff.com/594-large_default/airpur3-air-purifier.jpg,Fiche,https://www.climadiff.com/gb/104-airpur3-air-purifier-3595320106510.html
Climadiff,,https://www.climadiff.com/gb/index.php?controller=attachment&id_attachment=142,,AIRLESS,,Stopper Wine Preservation,gb,Wine products,climadiff.com,https://www.climadiff.com/566-large_default/airless-stopper-wine-preservation.jpg,Documents,https://www.climadiff.com/gb/99-airless-stopper-wine-preservation-3595320105568.html
Climadiff,,https://frio-entreprise.my.salesforce-sites.com/produits/sfc/servlet.shepherd/version/download/0683n00000OiRxMAAV,,MILLESIME150,,Cave À Vin De Vieillissement,fr,Caves à vin,climadiff.com,https://www.climadiff.com/1131-large_default/cave-a-vin-de-vieillissement-millesime150-149-bouteilles.jpg,Notice,https://www.climadiff.com/fr/858-166-cave-a-vin-de-vieillissement-millesime150-149-bouteilles-3595320107425.html
Climadiff,,https://frioentreprise.secure.force.com/produits/fcomfrn?Id=a063n00002GuGjK,,MILLESIME150,,Cave À Vin De Vieillissement,fr,Caves à vin,climadiff.com,https://www.climadiff.com/1131-large_default/cave-a-vin-de-vieillissement-millesime150-149-bouteilles.jpg,Fiche,https://www.climadiff.com/fr/858-166-cave-a-vin-de-vieillissement-millesime150-149-bouteilles-3595320107425.html
Climadiff,,https://frioentreprise.secure.force.com/produits/fcomenn?Id=a063n00002GuGjK,,MILLESIME150,,Cave À Vin De Vieillissement,fr,Caves à vin,climadiff.com,https://www.climadiff.com/1131-large_default/cave-a-vin-de-vieillissement-millesime150-149-bouteilles.jpg,Fiche,https://www.climadiff.com/fr/858-166-cave-a-vin-de-vieillissement-millesime150-149-bouteilles-3595320107425.html
Climadiff,,https://frio-entreprise.my.salesforce-sites.com/produits/sfc/servlet.shepherd/version/download/0683n00000Nl0ioAAB,,MILLESIME150,,Cave À Vin De Vieillissement,fr,Caves à vin,climadiff.com,https://www.climadiff.com/1131-large_default/cave-a-vin-de-vieillissement-millesime150-149-bouteilles.jpg,Plan,https://www.climadiff.com/fr/858-166-cave-a-vin-de-vieillissement-millesime150-149-bouteilles-3595320107425.html
Climadiff,,https://frio-entreprise.my.salesforce-sites.com/produits/sfc/servlet.shepherd/version/download/0683n00000Nl0jhAAB,,MILLESIME150,,Cave À Vin De Vieillissement,fr,Caves à vin,climadiff.com,https://www.climadiff.com/1131-large_default/cave-a-vin-de-vieillissement-millesime150-149-bouteilles.jpg,Fiche,https://www.climadiff.com/fr/858-166-cave-a-vin-de-vieillissement-millesime150-149-bouteilles-3595320107425.html
Climadiff,,https://frio-entreprise.my.salesforce-sites.com/produits/sfc/servlet.shepherd/version/download/0683n00000OiSUhAAN,,MILLESIME140D,,Cave De Vieillissement Double Zone,fr,Caves à vin,climadiff.com,https://www.climadiff.com/1123-large_default/cave-de-vieillissement-double-zone-millesime140d-138-bouteilles.jpg,Notice,https://www.climadiff.com/fr/857-164-cave-de-vieillissement-double-zone-millesime140d-138-bouteilles-3595320107456.html
Climadiff,,https://frioentreprise.secure.force.com/produits/fcomfrn?Id=a063n00002GuPdc,,MILLESIME140D,,Cave De Vieillissement Double Zone,fr,Caves à vin,climadiff.com,https://www.climadiff.com/1123-large_default/cave-de-vieillissement-double-zone-millesime140d-138-bouteilles.jpg,Fiche,https://www.climadiff.com/fr/857-164-cave-de-vieillissement-double-zone-millesime140d-138-bouteilles-3595320107456.html
Climadiff,,https://frioentreprise.secure.force.com/produits/fcomenn?Id=a063n00002GuPdc,,MILLESIME140D,,Cave De Vieillissement Double Zone,fr,Caves à vin,climadiff.com,https://www.climadiff.com/1123-large_default/cave-de-vieillissement-double-zone-millesime140d-138-bouteilles.jpg,Fiche,https://www.climadiff.com/fr/857-164-cave-de-vieillissement-double-zone-millesime140d-138-bouteilles-3595320107456.html
