brand,file_urls,model,product,product_lang,source,type,url
stero,"https://www.stero.com/specsheets/ER44.pdf""",ER44,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/ER44.pdf""",ER44,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/ER54.pdf""",ER54,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/ER54.pdf""",ER54,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/ER66S.pdf""",ER66S,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/ER66S.pdf""",ER66S,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/ER76S.pdf""",ER76S,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/U-31A-A2.pdf""",U-31A-A2,POT PAN UTENSIL WASHERS,,stero.com,specsheet,https://stero.com/products/pot-pan-utensil-washer/
stero,"https://www.stero.com/specsheets/ER76S.pdf""",ER76S,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/ER64.pdf""",ER64,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/ER64.pdf""",ER64,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/ER86S.pdf""",ER86S,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/U-31A-A2.pdf""",U-31A-A2,POT PAN UTENSIL WASHERS,,stero.com,specsheet,https://stero.com/products/pot-pan-utensil-washer/
stero,"https://www.stero.com/specsheets/STBUW.pdf""",STBUW,POT PAN UTENSIL WASHERS,,stero.com,specsheet,https://stero.com/products/pot-pan-utensil-washer/
stero,"https://www.stero.com/specsheets/STBUW.pdf""",STBUW,POT PAN UTENSIL WASHERS,,stero.com,specsheet,https://stero.com/products/pot-pan-utensil-washer/
stero,"https://www.stero.com/specsheets/SD3.pdf""",SD3,DOOR MACHINES,,stero.com,specsheet,https://stero.com/products/door-machines/
stero,"https://www.stero.com/specsheets/ER86S.pdf""",ER86S,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/ER94S.pdf""",ER94S,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/ER94S.pdf""",ER94S,Rack Conveyors,,stero.com,specsheet,https://stero.com/products/rack-conveyors/
stero,"https://www.stero.com/specsheets/STPCW-ER.pdf""",STPCW-ER,FLIGHT TYPE CONVEYORS,,stero.com,specsheet,https://stero.com/products/flight-type-conveyors/
stero,"https://www.stero.com/specsheets/SD3.pdf""",SD3,DOOR MACHINES,,stero.com,specsheet,https://stero.com/products/door-machines/
stero,"https://www.stero.com/specsheets/SD3T.pdf""",SD3T,DOOR MACHINES,,stero.com,specsheet,https://stero.com/products/door-machines/
stero,"https://www.stero.com/specsheets/SD3T.pdf""",SD3T,DOOR MACHINES,,stero.com,specsheet,https://stero.com/products/door-machines/
stero,"https://www.stero.com/specsheets/STPCW-ER.pdf""",STPCW-ER,FLIGHT TYPE CONVEYORS,,stero.com,specsheet,https://stero.com/products/flight-type-conveyors/
stero,"https://www.stero.com/specsheets/STBUW.pdf""",STBUW,FLIGHT TYPE CONVEYORS,,stero.com,specsheet,https://stero.com/products/flight-type-conveyors/
stero,"https://www.stero.com/specsheets/STBUW.pdf""",STBUW,FLIGHT TYPE CONVEYORS,,stero.com,specsheet,https://stero.com/products/flight-type-conveyors/
stero,"https://www.stero.com/specsheets/SC-MODULAR-CONVEYOR.pdf""",SC-MODULAR-CONVEYOR, MODULAR CONVEYORS,,stero.com,specsheet,https://stero.com/products/modular-conveyors/
stero,"https://www.stero.com/specsheets/STPCW.pdf""",STPCW,FLIGHT TYPE CONVEYORS,,stero.com,specsheet,https://stero.com/products/flight-type-conveyors/
stero,"https://www.stero.com/specsheets/STPCW.pdf""",STPCW,FLIGHT TYPE CONVEYORS,,stero.com,specsheet,https://stero.com/products/flight-type-conveyors/
stero,"https://www.stero.com/specsheets/SC-MODULAR-CONVEYOR.pdf""",SC-MODULAR-CONVEYOR, MODULAR CONVEYORS,,stero.com,specsheet,https://stero.com/products/modular-conveyors/
stero,"https://www.stero.com/specsheets/SC24.pdf""",SC24, MODULAR CONVEYORS,,stero.com,specsheet,https://stero.com/products/modular-conveyors/
stero,"https://www.stero.com/specsheets/SC24.pdf""",SC24, MODULAR CONVEYORS,,stero.com,specsheet,https://stero.com/products/modular-conveyors/
stero,"https://www.stero.com/specsheets/ST50438%20(02-22)%20SG.pdf""",ST50438%20(02-22)%20SG,GLASSWASHER,,stero.com,specsheet,https://stero.com/products/glasswasher/
stero,"https://www.stero.com/specsheets/SU.pdf""",SU,UNDERCOUNTER,,stero.com,specsheet,https://stero.com/products/undercounter/
stero,"https://www.stero.com/specsheets/ST50438%20(02-22)%20SG.pdf""",ST50438%20(02-22)%20SG,GLASSWASHER,,stero.com,specsheet,https://stero.com/products/glasswasher/
stero,"https://www.stero.com/specsheets/SU.pdf""",SU,UNDERCOUNTER,,stero.com,specsheet,https://stero.com/products/undercounter/
stero,"https://www.stero.com/specsheets/SU.pdf""",SU,UNDERCOUNTER,,stero.com,specsheet,https://stero.com/products/undercounter/
stero,"https://www.stero.com/specsheets/SU.pdf""",SU,UNDERCOUNTER,,stero.com,specsheet,https://stero.com/products/undercounter/
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/86183077.pdf,250,250 Vacuum Packaging Machine,,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/vacuum-packaging/250-vacuum-packaging-machine
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/86183078.pdf,350,350 Vacuum Packaging Machine,,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/vacuum-packaging/350-vacuum-packaging-machine
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/123576890.pdf,B10-SLC,B10 Gravity Feed Slicer,,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/b10-gravity-feed-slicer
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/RSPC%20ESP%20OW%20Technical%20Manual.pdf,RSPC-ESP-OW,ESP Pollution Control Unit,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent&page=1
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/86183124.pdf,MB1-2STD,"1/2"" MB Series 1/3 HP Countertop Bread Slicer",,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/12-mb-series-13-hp-countertop-bread-slicer
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/ELXC%20%26%20ELXC%20UV%20Technical%20Manual.pdf,ELXC & ELXC-UV,ELXC & ELXC-UV,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent&page=1
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/ELX%20%26%20ELX%20UV%20Technical%20Manual.pdf,ELX & ELX-UV,ELX & ELX-UV,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent&page=1
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/EL%20Technical%20Manual_0.pdf,EL,EL Dry Ventilator,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent&page=1
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/DCA%20Technical%20Manual%20R2%2003%2004%202021.pdf,,Demand Control Autostart,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent&page=1
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/86183078.pdf,350D,350D Vacuum Packaging Machine,,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/vacuum-packaging/350d-vacuum-packaging-machine
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/Eliminator%20ELXC-SPC%20CAN%20Technical%20Manual_0.pdf,ELXC-SPC,Eliminator Pollution Control Ventilator,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent
