brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/24248/,,DM3058E,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,DM3058_DM3058E_Datasheet_EN,https://rigolshop.eu/digital-multimeter-dm3058e.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/24239/,,DM3058E,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,DM3058E_UserGuide_EN,https://rigolshop.eu/digital-multimeter-dm3058e.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/24240/,,DM3058E,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,M300_RackMount_EN,https://rigolshop.eu/digital-multimeter-dm3058e.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/24241/,,DM3058E,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,rigol-software-tools,https://rigolshop.eu/digital-multimeter-dm3058e.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/24242/,,DM3058E,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,VISA_TMC_Driver_information,https://rigolshop.eu/digital-multimeter-dm3058e.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/24243/,,DM3058E,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,DM3058_DM3058E_ProgrammingGuide_EN,https://rigolshop.eu/digital-multimeter-dm3058e.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/25431/,,DM3058,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,DM3058_DM3058E_Datasheet_EN,https://rigolshop.eu/digital-multimeter-dm3058.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/25423/,,DM3058,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,DM3058_UserGuide_EN,https://rigolshop.eu/digital-multimeter-dm3058.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/25424/,,DM3058,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,M300_RackMount_EN,https://rigolshop.eu/digital-multimeter-dm3058.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/25425/,,DM3058,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,rigol-software-tools,https://rigolshop.eu/digital-multimeter-dm3058.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/25426/,,DM3058,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,VISA_TMC_Driver_information,https://rigolshop.eu/digital-multimeter-dm3058.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/32428/,,DM3068,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,DM3068_DataSheet_EN,https://rigolshop.eu/digital-multimeter-dm3068.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/32434/,,DM3068,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,DM3068_datasheet_EN,https://rigolshop.eu/digital-multimeter-dm3068.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/32423/,,DM3068,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,DM3068_QuickGuide_CN&EN,https://rigolshop.eu/digital-multimeter-dm3068.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/32424/,,DM3068,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,RM-DM3000 Rackmount Kit Manual,https://rigolshop.eu/digital-multimeter-dm3068.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/32425/,,DM3068,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,VISA_TMC_Driver_information,https://rigolshop.eu/digital-multimeter-dm3068.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/32426/,,DM3068,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,rigol-software-tools,https://rigolshop.eu/digital-multimeter-dm3068.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/32427/,,DM3068,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,DM3068_ProgrammingGuide_EN,https://rigolshop.eu/digital-multimeter-dm3068.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/32435/,,DM3068,,Digital Multimeter,en,Digital Multimeter,rigolshop.eu,,user manual for the DM3068 ,https://rigolshop.eu/digital-multimeter-dm3068.html
Rigol,,https://rigolshop.eu/downloadable/download/attachment/id/33486/,,DP2031,,DC Power Supply,en,Power Supply,rigolshop.eu,,DP2000 DataSheet (English),https://rigolshop.eu/products/power-supply/dp2000/dp2031.html
