alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb,type,url,video
,Shokz,7001542361187,https://cdn.shopify.com/s/files/1/0857/5574/files/OpenComm2.pdf,,OpenComm2,,Bone Conduction Stereo Bluetooth Headset,en,,,shokz,https://ca.shokz.com/cdn/shop/files/OPENCOMM2-1.webp?v=1692772262,User Guide,https://ca.shokz.com/products/opencomm2,
,Shokz,,https://cdn.shopifycdn.net/s/files/1/0252/6088/4047/files/Find_your_size_FR.pdf?v=1650011414,,OpenRun,,Open-Ear Bone Conduction Wireless Headphones,fr,,,shokz,https://fr.shokz.com/cdn/shop/products/BLACK1_27023555-8cda-4138-a816-8e20f39465e2_1200x1200.webp?v=1672738469,Size Guide,https://fr.shokz.com/products/openrun,
,Shokz,,https://cdn.shopify.com/s/files/1/0252/6088/4047/files/OpenRun_User_Guide-Fr-0223.pdf?v=1645603720,,OpenRun,,Open-Ear Bone Conduction Wireless Headphones,fr,,,shokz,https://fr.shokz.com/cdn/shop/products/BLACK1_27023555-8cda-4138-a816-8e20f39465e2_1200x1200.webp?v=1672738469,User Guide,https://fr.shokz.com/products/openrun,
,Shokz,,https://cdn.shopify.com/s/files/1/0282/2091/5843/files/MIni_Find_your_size_NL.pdf?v=1686194448,,OpenRun,,Open-Ear Bone Conduction Wireless Headphones,nl,,,shokz,https://nl.shokz.com/cdn/shop/products/BLACK1_bb484c59-7f3c-4e95-888e-5213ab18813e_1200x1200.webp?v=1672741773,Size Guide,https://nl.shokz.com/products/openrun,
,Shokz,,https://cdn.shopify.com/s/files/1/0282/2091/5843/files/Find_your_size_NL.pdf?v=1650011233,,OpenRun,,Open-Ear Bone Conduction Wireless Headphones,nl,,,shokz,https://nl.shokz.com/cdn/shop/products/BLACK1_bb484c59-7f3c-4e95-888e-5213ab18813e_1200x1200.webp?v=1672741773,Size Guide,https://nl.shokz.com/products/openrun,
,Shokz,,https://cdn.shopify.com/s/files/1/0282/2091/5843/files/OpenRun-User_Guide-NL.pdf?v=1656650623,,OpenRun,,Open-Ear Bone Conduction Wireless Headphones,nl,,,shokz,https://nl.shokz.com/cdn/shop/products/BLACK1_bb484c59-7f3c-4e95-888e-5213ab18813e_1200x1200.webp?v=1672741773,User Guide,https://nl.shokz.com/products/openrun,
,Shokz,,https://cdn.shopify.com/s/files/1/0474/1981/8141/files/Find_your_size_DE.pdf?v=1650011198,,OpenRun,,Open-Ear Bone Conduction Wireless Headphones,de,,,shokz,https://de.shokz.com/cdn/shop/products/BLACK1_510b5484-4b84-4775-af32-18603af334a3_1200x1200.webp?v=1672740214,Size Guide,https://de.shokz.com/products/openrun,
,Shokz,,https://cdn.shopify.com/s/files/1/0474/1981/8141/files/OpenRun_User_Guide_DE.pdf?v=1679377783,,OpenRun,,Open-Ear Bone Conduction Wireless Headphones,de,,,shokz,https://de.shokz.com/cdn/shop/products/BLACK1_510b5484-4b84-4775-af32-18603af334a3_1200x1200.webp?v=1672740214,User Guide,https://de.shokz.com/products/openrun,
,Shokz,,https://cdn.shopify.com/s/files/1/0474/1981/8141/files/OpenFit_User_Guide-DE.pdf?v=1688557645,,OpenFit,,Open-Ear True Wireless Earbuds,de,,,shokz,https://de.shokz.com/cdn/shop/files/BK-1_1200x1200.webp?v=1687227598,User Guide,https://de.shokz.com/products/openfit,
,Shokz,,https://cdn.shopify.com/s/files/1/0474/1981/8141/files/Find_your_size_DE_9f08621f-6abe-4a82-9adf-3121bcad823f.pdf?v=1666926438,,OpenRun Pro,,Open-Ear Bone Conduction Wireless Headphones,de,,,shokz,https://de.shokz.com/cdn/shop/products/BLACK1_4b925a4e-dbef-470c-b06e-47044c09d3ca_1200x1200.webp?v=1672739915,Size Guide,https://de.shokz.com/products/openrun-pro,
,Shokz,,https://cdn.shopify.com/s/files/1/0474/1981/8141/files/OpenRun_Pro_User_Guide_DE.pdf?v=1679377782,,OpenRun Pro,,Open-Ear Bone Conduction Wireless Headphones,de,,,shokz,https://de.shokz.com/cdn/shop/products/BLACK1_4b925a4e-dbef-470c-b06e-47044c09d3ca_1200x1200.webp?v=1672739915,User Guide,https://de.shokz.com/products/openrun-pro,
,Shokz,,https://cdn.shopify.com/s/files/1/0271/5389/1376/files/Find_your_size_JP_713d2a7a-8819-4f53-b004-67947d351c0d.pdf?v=1666747323,,OpenRun Pro,,Open-Ear Bone Conduction Wireless Headphones,ja,,,shokz,https://jp.shokz.com/cdn/shop/products/86f307fa4e77b4fa8e5b8e25e9f8065b_1200x1200.png?v=1676251032,Size Guide,https://jp.shokz.com/products/openrun-pro,
,Shokz,,https://cdn.shopify.com/s/files/1/0074/1890/4612/files/OpenRun_Pro_en_User_Manual_V1.0.pdf?v=1640922553,,OpenRun Pro,,Open-Ear Bone Conduction Wireless Headphones,ja,,,shokz,https://jp.shokz.com/cdn/shop/products/86f307fa4e77b4fa8e5b8e25e9f8065b_1200x1200.png?v=1676251032,User Manual,https://jp.shokz.com/products/openrun-pro,
,Shokz,,https://cdn.shopify.com/s/files/1/0252/6088/4047/files/Find_your_size_FR_8c1c37e8-3761-4ece-8c03-853329b93a2c.pdf?v=1666865401,,OpenRun Pro,,Open-Ear Bone Conduction Wireless Headphones,fr,,,shokz,https://fr.shokz.com/cdn/shop/products/BLACK1_9d31ad70-2907-4611-a963-862e59a23bce_1200x1200.webp?v=1672738169,Size Guide,https://fr.shokz.com/products/openrun-pro,
,Shokz,,https://cdn.shopify.com/s/files/1/0271/5389/1376/files/Shokz_OpenRun_Pro.pdf?v=1646183988,,OpenRun Pro,,Open-Ear Bone Conduction Wireless Headphones,ja,,,shokz,https://jp.shokz.com/cdn/shop/products/86f307fa4e77b4fa8e5b8e25e9f8065b_1200x1200.png?v=1676251032,User Manual,https://jp.shokz.com/products/openrun-pro,
,Shokz,,https://cdn.shopify.com/s/files/1/0252/6088/4047/files/OpenRun_Pro_User_Guide-Fr-0222.pdf?v=1645603719,,OpenRun Pro,,Open-Ear Bone Conduction Wireless Headphones,fr,,,shokz,https://fr.shokz.com/cdn/shop/products/BLACK1_9d31ad70-2907-4611-a963-862e59a23bce_1200x1200.webp?v=1672738169,User Guide,https://fr.shokz.com/products/openrun-pro,
,Shokz,,https://cdn.shopify.com/s/files/1/0252/6088/4047/files/OpenFit_User_Guide-FR.pdf?v=1688557616,,OpenFit,,Open-Ear True Wireless Earbuds,fr,,,shokz,https://fr.shokz.com/cdn/shop/files/BK-1_1200x1200.webp?v=1687227106,User Guide,https://fr.shokz.com/products/openfit,
,Shokz,,https://cdn.shopify.com/s/files/1/0282/2091/5843/files/OpenFit_User_Guide-NL.pdf,,OpenFit,,Open-Ear True Wireless Earbuds,nl,,,shokz,https://nl.shokz.com/cdn/shop/files/BK-1_1200x1200.webp?v=1687227866,User Guide,https://nl.shokz.com/products/openfit,
,Shokz,6952455438435,https://cdn.shopify.com/s/files/1/0857/5574/files/Openfit_-_1.pdf?v=1687224261,,OpenFit,,Open-Ear True Wireless Earbuds,en,,,shokz,https://ca.shokz.com/cdn/shop/files/BK-1.webp?v=1687257268,User Guide,https://ca.shokz.com/products/openfit,
